Titel,Artikel,Datum,,
Bromfietser (39) overlijdt na aanrijding," - Op het Tijdpad vond zondagavond een aanrijding tussen een 39-jarige bromfietser uit Almere en 45-jarige vrouw afkomstig uit Beverwijk plaats. De vrouw reed in haar auto op de Julistraat en wilde naar de Eeuwenweg gaan. De bromfietser reed op dat moment over het Tijdpad en wilde naar de Julistraat gaan. De automobiliste zag de man op de bromfiets op het kruispunt over het hoofd, waarna een botsing volgde. De man werd met hoofdletsel overgebracht naar het AMC. Daarbij kregen de hulpverleningsdiensten hulp van twee ter plaatse zijnde EHBO-ers. De man is later aan zijn verwondingen bezweken.		",2003-06-20,,
Marum : Slachtoffer ongeval Jonkersvaart overleden,"Marum : Slachtoffer ongeval Jonkersvaart overleden 
	  De 59-jarige man uit de gemeente Marum die donderdagavond te water raakte in Jonkersvaart is overleden. Het slachtoffer werd die avond bewusteloos aangetroffen in het water. De man reed op zijn scooter, maar raakte van de weg en kwam in het water terecht. Hij werd op de wal gereanimeerd en naar het ziekenhuis gebracht. De politie gaat uit van een eenzijdig ongeval. Een 59-jarige man uit de gemeente Marum is donderdagavond gewond geraakt bij een eenzijdig ongeluk in Jonkersvaart. De man werd rond 19.30 uur bewusteloos aangetroffen in het water. De man moest gereanimeerd worden en is met onbekend letsel naar het UMCG gebracht. Op het talud is zijn scooter aangetroffen. De politie gaat vooralsnog uit van een eenzijdig ongeval. De man is door nog onbekende oorzaak van de weg geraakt en in het water terechtgekomen. https://www.google.nl/maps/@53.1293914,6.3027272,3a,75y,295.74h,78.56t/data=!3m6!1e1!3m4!1sQWopdYfZbc8xkAR-Bn8OuA!2e0!7i13312!8i6656 http://www.dvhn.nl/incoming/ig1kzd-ongeluk2.png/ALTERNATES/WIDE_768/ongeluk2.png",2017-08-03,,
Biddinghuizen - N708: Doden (3) en 8 gewonden na ongeval (update),"
	  Bij een ongeval tussen een personenbusje en een trekker met aanhanger zijn woensdagochtend twee doden en negen zwaargewonden gevallen. Het ongeval vond plaats op de Bremerbergweg (N708) bij Biddinghuizen. Het gaat om een frontale botsing tussen het busje met tien inzittenden en een trekker met aanhanger. Een slachtoffer overleed ter plaatse, het andere bezweek in het ziekenhuis aan zijn verwondingen. De bestuurder van de trekker kwam bij het ongeluk onder zijn voertuig terecht en raakte daarbij zwaar gewond. De dodelijke slachtoffers zaten beiden in het busje. Het busje heeft een Pools kenteken. De politie kan echter niet bevestigen dat de inzittenden de Poolse nationaliteit hebben. In het gebied werken wel veel arbeiders uit dat land, met name in de landbouwsector. Politieagenten en ambtenaren van de gemeente Dronten, doen momenteel onderzoek naar de identiteit van de slachtoffers. De N708 is in verband met het ongeval tussen Biddinghuizen en Harderwijk in beide richtingen afgesloten. Tien ambulances en een groot aantal brandweerauto's uit de gehele regio zijn ter plaatse. Over de oorzaak van het ongeluk is nog niets bekend. Het ongeval vond plaats op een onverlichte buitenweg. Volgens een woordvoerder van de brandweer moet er sprake zijn geweest van een gigantische klap, gezien de ravage op de weg. De trekker is door het ongeval in een greppel terecht gekomen en de voorkant van het busje is zeer zwaar beschadigd. Of de grote hoeveelheden modder die landbouwvoertuigen op de weg achterlaten mogelijk een rol hebben gespeeld bij het ongeval, durft de woordvoerder niet te zeggen. De Bremerbergweg is een provinciale weg die door de Flevolandse weilanden loopt en veel door trekkers gebruikt wordt. De Flevolandse brandweer waarschuwt al een aantal weken voor glibberige wegen vanwege de vele modder die de trekkers vanaf de akkers de wegen oprijden. Ook op het rechte stuk weg waar het ongeval plaatsvond lag veel modder van de omliggende weilanden. Dat heeft de politie Flevoland meegedeeld.  Dinsdagavond is een derde inzittende van het Poolse busje, dat vorige week woensdag betrokken was bij een ernstige aanrijding in Biddinghuizen, in een ziekenhuis overleden.  Het slachtoffer, een 37-jarige Pool, werd na de aanrijding in zorgwekkende toestand opgenomen in een Utrechts ziekenhuis. Ondanks alle medisch zorg voor de zwaargewonde man overleed hij in het ziekenhuis.  In totaal zijn er nu drie Poolse mannen overleden tengevolge van de aanrijding. De acht gewonden liggen nog in verschillende ziekenhuizen in Nederland. Hun toestand wordt omschreven variërend van stabiel tot zorgelijk.  De 16-jarige tractorbestuurder die betrokken was bij het zware ongeluk in Biddinghuizen op 3 november, is geen verdachte meer. Dat laat een woordvoerster van Justitie desgevraagd weten. Biddinghuizenaar Rick Stegeman reed 's ochtends vroeg een tractor met kipper vol aardappels over de Bremerbergweg, tussen Biddinghuizen en het Veluwemeer. Hij werd frontaal aangereden door een busje met daarin tien Poolse arbeiders, de dagploeg van het bedrijf Van Werven in Biddinghuizen. Drie Polen overleden door de klap, de anderen raakten zwaargewond. Stegeman ook. Al snel bleek dat er teveel mensen in het busje zaten. Nog dezelfde dag meldde de politie dat Stegeman een geldige rijbevoegdheid had. Nu blijkt dat hij tevens niet schuldig is aan het zware ongeluk. Overigens loopt het onderzoek nog, aldus Justitie. Na zes weken ziekenhuis in Zwolle is Stegeman momenteel aan het revalideren in Huizen. Hij leert weer lopen en zitten en is daar erg blij mee. ""Dat bed, daar word je zo zat van."" De kerstdagen heeft hij thuis doorgebracht. 		",2010-11-03,,
Heeze: Automobilist omgekomen bij eenzijdige aanrijding,"Heeze: Automobilist omgekomen bij eenzijdige aanrijding 
	  Bij een eenzijdige aanrijding op de Sterkselseweg is donderdagavond rond 20.30 uur een man van 39 jaar uit Mariahout om het leven gekomen.  Hij is met zijn auto door nog onbekende oorzaak tegen een boom gereden en ter plaatse overleden. Het slachtoffer was de enige inzittende van de wagen. De politie onderzoekt het ongeval. 		",2009-10-01,,
"Aalsmeer - N196: Ernstig ongeval: 1 persoon overleden, vier zwaargewonden","
	  Een auto met vijf inzittenden is vanavond betrokken geraakt bij een ernstig ongeval op de Burgemeester Kasteleinweg (N196) in Aalsmeer. Hierbij is 1 persoon overleden en vier raakten er zwaargewond, aldus een woordvoerder van de politie. Twee van hen zijn in kritieke toestand. De auto vloog door onbekende oorzaak over de kop op de Aalsmeerderbrug en de inzittenden kwamen vast te zitten in de auto. De brandweer wist in eerste instantie drie zwaargewonden en 1 overleden persoon uit de auto te halen. De drie zwaargewonden zijn met spoed naar verschillende ziekenhuizen afgevoerd.  Naar een vijfde persoon is lang gezocht, in het water en ook op de weg. Uiteindelijk werd deze persoon onderin het wrak gevonden. Deze is ook in kritieke toestand naar het ziekenhuis gebracht. Het gaat naar alle waarschijnlijkheid om een eenzijdig ongeval, meldt een woordvoerder van de politie. De N196 zal nog tot ver in de nacht afgesloten zijn, voor sporenonderzoek en het opruimen van de ravage die is aangericht aan het wegdek en aan de brug. Over de identiteit van de inzittenden is nog niets bekend. Politie.nl schreef: Politie zoekt getuigen na dodelijk ongeval Aalsmeer De politie zoekt getuigen die informatie kunnen geven over de aanrijding met dodelijke afloop op zondagavond 30 oktober op de Burgemeester Kasteleinweg/ Aalsmeerderbrug. Rond 19.55 uur sloeg een zwarte Audi A6 met Pools kenteken TOS 30264 meerdere malen over de kop. Het totaal verwrongen wrak kwam ondersteboven op de brug tot stilstand. 1 van de inzittenden overleed ter plaatste terwijl hulpverleners vochten voor de levens van nog vier andere inzittenden. De vier slachtoffers werden direct na hun bevrijding uit het autowrak met ernstige verwondingen naar verschillende ziekenhuizen gebracht. Twee van hen verkeren in kritieke toestand. Voor het politieonderzoek is het onderzoeksteam op zoek naar mensen die kort voor de aanrijding de zwarte Audi hebben zien rijden. Mogelijk dat er mensen zijn die bijvoorbeeld beelden hebben gemaakt middels een dashcam of mobiele telefoon. Er wordt ook rekening gehouden met opvallend of normafwijkend rijgedrag van de Audi. Mogelijk dat getuigen die hebben gezien en dit met de specialisten van het onderzoeksteam willen delen. Getuigen wordt gevraagd om contact op te nemen met het Team Opsporing Ernstige Verkeersongevallen via 0900-8844. Mensen die beeldmateriaal hebben kunnen dit middels het tipformulier uploaden. Vaststellen identiteit overige slachtoffers Van de bestuurder is de identiteit bekend. Het gaat om een 28-jarige man met een Poolse nationaliteit. Van de overledene en de andere drie slachtoffers nog niet. Weet u wie de inzittenden zijn van deze Audi A6 of weet u waar ze mogelijk verbleven? Neem dan contact op met het Team Opsporing Ernstige Verkeersongevallen via 0900-8844. http://www.telegraaf.nl/binnenland/article26915507.ece http://images0.tcdn.nl/binnenland/article26915506.ece/BINARY/q/Schermafbeelding+2016-10-30+om+20.37.39",2016-10-30,,
Man (42) komt om bij auto-ongeluk in Wateringen., - Bij een ongeluk in Wateringen is zondagavond een automobilist om het leven gekomen. De 42-jarige Hagenaar man raakte rond 17.30 uur op de Wippolderlaan door nog onbekende oorzaak van de weg. Hij kwam op een bevroren sloot terecht en overleed aan zijn verwondingen. ,,,2003-02-18
A58 - Moergestel: Een dode en drie gewonden bij ernstig verkeersongeval ,"A58 - Moergestel: Een dode en drie gewonden bij ernstig verkeersongeval  
	  Bij een verkeersongeval op de A-58 zijn zaterdagavond 13 juni 2009 een dodelijk slachtoffer en drie gewonden gevallen. De overledene is een 23-jarige man uit Bleskensgraaf. De hulpverleningsdiensten (brandweer, ambulance en politie) werden om 19.47 uur gealarmeerd. Drie ambulances en de traumahelikopter kwamen ter plaatse om medische zorg te verlenen. Het ongeluk gebeurde op de autosnelweg A-58 tussen Moergestel en Tilburg, in de rijrichting van Tilburg ter hoogte van hectometerpaal 31.6. Uit het sporenbeeld en verklaringen van betrokkenen/getuigen blijkt dat het gaat om een kop-staart-aanrijding, waarbij er vermoedelijk een groot snelheidsverschil was tussen de beide personenauto's. De voorste auto was kort tevoren vanaf de vluchtstrook terug op de autosnelweg ingevoegd. Door de klap sloeg het achterste voertuig een aantal malen over de kop. Beide voertuigen belandden daarna in een sloot in de berm rechts van de weg. In de voorste auto zat één persoon, een 29-jarige man uit Breda. Hij raakte gewond en is naar het ziekenhuis overgebracht. De bestuurder van de achterste auto betrof een 44-jarige man uit Hardinxveld-Giesssendam. Hij liep slechts schaafwonden op en hoefde niet naar het ziekenhuis. Twee inzittenden van zijn auto zijn per ambulance overgebracht naar het ziekenhuis. Het gaat om een 19-jarige man uit Hardinxveld-Giesssendam  en een 16-jarige jongen uit Bleskensgraaf. De vierde inzittende, een 23-jarige inwoner van Bleskensgraaf, werd door de klap uit de auto geslingerd. De man overleed ter plaatse aan zijn verwondingen. In eerste aanleg kwam ook de brandweer ter plaatse, gezien de ernst van het ongeval. Zij hoefde niet in actie te komen, want geen van de slachtoffers zat bekneld. Wel hebben brandweermensen de 23-jarige man uit Bleskensgraaf nog gereanimeerd. Verkeersongevalanalisten van de politie onderzochten de plaats van het ongeval naar sporen en maakten foto’s van de aangetroffen situatie en de beschadigde voertuigen. Aan de hand van deze feiten en de verklaringen van diverse betrokken probeert de politie de precieze toedracht van het ongeval te achterhalen.  Voor de afhandeling van het ongeval en het sporenonderzoek is een gedeelte van de A-58 tijdelijk afgesloten. Het verkeer werd ter plaatse over één rijstrook geleid. ",2009-06-13,,
A73 - Echt: Slachtoffer aanrijding overleden,"
	  Een 48-jarige man uit het Friese Garyp die ernstig gewond is geraakt bij een aanrijding op de A73, is overleden. De man kwam maandag door nog onbekende oorzaak op de snelweg in Echt met zijn auto onder de oplegger van een vrachtwagen terecht. Hij moest door de brandweer uit het wrak bevrijd worden. Dinsdagochtend bezweek hij in het ziekenhuis aan zijn verwondingen. De politie is nog bezig met een onderzoek naar de oorzaak van het ongeluk. Mogelijk had het slachtoffer niet gezien dat er voor hem een file was ontstaan. L1.nl schreef eerder: Auto onder vrachtwagen op A73 Op de A73 bij Echt is maandagmiddag een auto onder een vrachtwagen met oplegger gekomen. De weg is in zuidelijke richting dicht. Er is een traumahelikopter ingezet. De bestuurder van de auto is ernstig gewond naar het ziekenhuis gebracht. Het is nog niet duidelijk waardoor de bestuurder onder de oplegger van de vrachtwagen terechtkwam. De politie is bezig met een onderzoek naar de toedracht van het verkeersongeval. Daarom blijven de rijbanen richting zuiden op de A73 voorlopig afgesloten voor het verkeer. Het verkeer wordt omgeleid. De bestuurder van de vrachtwagen is voor verhoor meegenomen naar het politiebureau.",2013-12-02,,
Enschede - N737: Bestuurder overleden bij aanrijding Weerseloseweg [UPDATE],"
	  Op de Weerseloseweg tussen Frans op de Bult en Enschede is vrijdag een 59-jarige vrachtwagenchauffeur uit Glanerbrug omgekomen. Twee anderen raakten gewond.  Het ongeluk was ter hoogte van Eetcafe Heer Bommel. Een vrachtwagen werd rond 17.08 uur geraakt door een tegemoetkomende bestelbus en raakte van de weg.  Vervolgens botste een auto frontaal op de bestelbus. De politie doet nog onderzoek naar de toedracht van het ongeval. Ook staat nog niet vast wie de slachtoffers zijn. De weg is voor onderzoek tot 's avonds laat afgesloten geweest. Een luifel aan een bestelbus, die plotseling openklapte tijdens het rijden, heeft vrijdag een 59-jarige vrachtwagenchauffeur uit Glanerbrug gedood. De luifel boorde zich in de cabine van de vrachtwagen. De chauffeur was op slag dood. Dat is dinsdag gebleken uit een onderzoek dat de politie instelde. Het ongeluk gebeurde op de Weerseloseweg in Enschede. Door de klap waarmee de luifel de vrachtwagen raakte, schoot de bestelbus op de andere weghelft en reed daar frontaal op een tegemoetkomende auto. Daarbij vielen twee gewonden.De politie onderzoekt nog hoe de luifel aan de bestelbus zomaar los kon raken. Bron: http://www.telegraaf.nl/binnenland/21270290/__Losse_luifel_doodde_chauffeur__.html		",2013-02-01,,
Dodelijk verkeersongeval in Nieuwegein,"Dodelijk verkeersongeval in Nieuwegein 
	  NIEUWEGEIN – Op maandagavond heeft een verkeersongeval plaatsgevonden met dodelijke afloop. Omstreeks 23.35 uur kreeg de politie het verzoek om naar de A.C. Verhoefweg te gaan in verband met een verkeersongeval. Het slachtoffer -een 19-jarige man uit Nieuwegein-  is volgens getuige vermoedelijk de macht over het stuur verloren en tegen een boom aangereden. De bestuurder is per ambulance overgebracht naar het UMC ziekenhuis en is later aan zijn verwondingen overleden. De politie stelt een onderzoek in naar de oorzaak van het ongeval.",2004-10-25,,
Loenen: Dode bij ongeval,"
	  Bij een ongeval op Kanaal-Zuid, ter hoogte van Loenen is vanmiddag rond 17 uur een groot ongeval gebeurd.  Volgens politiewoordvoerder Anton de Ronde zijn bij het ongeval, waarbij een vrachtwagen en drie busjes betrokken waren, 1 dode en 1 zwaar gewonde gevallen. Een 76-jarige man uit Loenen is overleden na een botsing met een vrachtwagen. Het slachtoffer gaf geen voorrang toen hij met zijn busje van de brug over het Kanaal Zuid in Loenen afreed.  De vrachtwagen, geladen met dertig ton zand, schepte het busje en kantelde naar links. Het zand kwam deels in een tuin terecht. De 76-jarige man overleed ter plaatse. De vrachtwagenchauffeur, een 50-jarige man uit Brummen, raakte niet gewond.  Een ander bestelbusje, uit de richting van Apeldoorn, klapte bovenop de vrachtwagen. De bestuurder uit Purmerend raakte zwaargewond.  Een 41-jarige man uit Apeldoorn reed met zijn busje weer op zijn voorganger. Hij had geen verwondingen.  Het ongeval gebeurde op een belangrijke verbindingsroute tussen Apeldoorn, Eerbeek, Brummen en Dieren. De weg blijft de komende uren nog afgesloten.",2007-09-17,,
Amsterdam: 19-jarige Amsterdammer komt om bij aanrijding met motor in Noord,"Amsterdam: 19-jarige Amsterdammer komt om bij aanrijding met motor in Noord 
	  Een negentienjarige man is vannacht overleden aan de gevolgen van een aanrijding door een motor gisteravond op de Volendammerweg.  Het slachtoffer stak gisteravond even voor half elf te voet de Volendammerweg over ter hoogte van het kruispunt met de Werengouw en werd daarbij aangereden door een 29-jarige motorrijder uit Almere.  De politie vermoedt dat de voetganger op het zebrapad liep toen hij werd geschept. Beide mannen werden zwaargewond afgevoerd naar het ziekenhuis. Daar is de Amsterdammer aan zijn verwondingen overleden. De motorfiets, een licht en sportief model, kwam na de aanrijding tientallen meters verder tot stilstand.  Tegen RTV Noord-Holland hebben ooggetuigen gezegd dat de Volendammerweg gisteren eerder op de avond al als racebaan was gebruikt door motoren, maar bewoners van de straat die uitkijken op de plaats van het ongeval zeggen dat ze daar niets van hebben gehoord of gezien.  De politie doet nog onderzoek naar de toedracht van de aanrijding en zoekt daarom naar getuigen. Een woordvoerder kon vanmorgen niet zeggen of er ook vermoedens zijn van een straatrace. http://static0.parool.nl/static/photo/2014/15/13/6/20140804084743/media_xl_2409576.jpg http://www.telegraaf.nl/binnenland/article22927663.ece		",2014-08-03,,
Almere - N702: Twee doden bij ongeval met Ferrari (update),"
	  Een man en een vrouw zijn zaterdagmiddag om het leven gekomen bij een ongeval in Almere. De twee zaten in een Ferrari, waarvan de bestuurder vermoedelijk in een flauwe bocht de macht over het stuur verloor. De wagen raakte meerdere bomen en kwam uiteindelijk tegen een boom tot stilstand, meldt een politiewoordvoerder. Het ongeval vond rond 16.00 uur plaats op de Buitenring. Bij het ongeval zijn geen andere voertuigen betrokken. De politie onderzoekt de exacte toedracht van het ongeluk nog. De identiteit van de slachtoffers is nog niet bekendgemaakt. Een 49-jarige man uit Geldrop en een 31-jarige vrouw uit Tiel zijn zaterdagmiddag om het leven gekomen bij een ongeval op de Buitenring in Almere. Dat heeft de politie zondag laten weten. De twee zaten in een auto die door de vrouw werd bestuurd. Zij verloor na een inhaalmanoeuvre vermoedelijk de macht over het stuur. Het voertuig kwam in de berm terecht, raakte een aantal bomen en kwam uiteindelijk tegen een andere boom tot stilstand. Een dodelijk ongeluk met een gehuurde Ferrari in Almere is veroorzaakt door een combinatie van een veel te hoge snelheid en een hobbel in de weg. Dat blijkt uit politieonderzoek. De 31-jarige bestuurster uit Tiel raakte eind mei de controle over de auto kwijt. Ze botste daarna tegen meerdere bomen. Zij en een 49-jarige man uit Geldrop kwamen om het leven. Volgens de politie heeft een hobbel in de weg eraan bijgedragen dat de vrouw de macht over het stuur verloor. Het verhuurbedrijf valt niets te verwijten, meldt het OM.",2011-05-21,,
Schoonebeek - N853: Bejaarde fietser verongelukt,"
	  Een 78-jarige man uit Schoonebeek is donderdagmiddag bij een verkeersongeval op de Nieuw Amsterdamseweg om het leven gekomen. Een 21-jarige autobestuurder uit Zandpol die over de Nieuw Amsterdamseweg reed in de richting van Schoonebeek, zag de man die over het aan de linkerzijde naast de rijbaan gelegen fietspad reed, plotseling de weg oversteken in de richting van het Westersebos. De man reed op een fiets met trapondersteuning. De aanrijding werd hem fataal.		",2010-07-01,,
Barneveld: Botsing tegen boom in Barneveld eist leven,"Barneveld: Botsing tegen boom in Barneveld eist leven 
	  Een 20-jarige man uit Barneveld is zaterdagnacht in zijn woonplaats om het leven gekomen nadat hij met zijn auto tegen een boom was gereden. Dat laat de politie zondag weten. Het is nog niet duidelijk hoe het ongeluk kon gebeuren. Het ongeluk gebeurde rond 00.05 uur op de Wesselseweg. Het slachtoffer werd naar het ziekenhuis gebracht, waar hij even later overleed. ",2007-11-25,,
Hoogeveen: Fietser uit Hoogeveen overleden na ongeluk,"Hoogeveen: Fietser uit Hoogeveen overleden na ongeluk 
	  Een 85-jarige fietser uit Hoogeveen, die gisteren ernstig gewond raakt bij een aanrijding met een 77-jarige automobilist uit Zwolle, is overleden. De man fietste over de Middenweg in Hoogeveen, waar hij door de Zwolse autobestuurder werd aangereden toen hij linksaf sloeg. Hij werd naar het ziekenhuis in Zwolle gebracht. Daar is de bejaarde man later op de dag aan zijn verwondingen overleden.		",2013-08-13,,
’s-Graveland: Meisje (15) uit Hilversum overleden na ongeval,"
	  Bij een verkeersongeluk is zaterdagmiddag rond half zes een 15-jarig meisje uit Hilversum om het leven gekomen in 's Graveland. Het meisje fietste over het fietspad dat parallel loopt aan het Noordereinde. Om dat pad te blijven volgen moest ze de kruising Herenweg/Ankeveensepad oversteken. Daarbij werd ze geschept door een tegemoetkomende auto. De traumaheli met arts kwam ter plaatse maar reanimatie mocht niet meer baten ",2012-11-17,,
Doden en gewonden door verkeersongeval Kerkrade,"Doden en gewonden door verkeersongeval Kerkrade 
	  KERKRADE - Bij een frontale botsing op de N299 in Kerkrade zijn woensdagavond twee personen om het leven gekomen. Een persoon raakte daarbij zwaar- en vier anderen lichtgewond. Dat meldde de politie woensdagavond. Het ongeval deed zich rond zes uur ’s avonds voor ter hoogte van de afrit Eygelshoven. Bij het ongeval waren vier auto’s betrokken. Nadat twee auto’s frontaal op elkaar waren gebotst, reden daar nog eens twee auto’s op in.  In aanvulling op het vorige bericht, medegedeeld door Stafbureau Communicatie van Regiopolitie Limburg Zuid: Bij de aanrijding woensdagavond op de N299 zijn twee doden gevallen waarvan de identiteit inmiddels bekend is. Het gaat om een echtpaar uit Kerkrade, de man was 65 en de vrouw 60 jaar. Bij het ongeval raakten twee personen zwaargewond, het gaat hierbij om een 28-jarige man uit Kerkrade en een 49-jarige man uit diezelfde stad. De 28-jarige man reed met zijn auto op de N299 waarbij hij uit de richting van Brunssum kwam. Door nog onbekende oorzaak raakte hij op de verkeerde weghelft en botste frontaal tegen de auto van het echtpaar. Op dit moment is er nog geen informatie over de toestand van de zwaargewonde slachtoffers. ",2006-03-15,,
Baarlo: Drummer Finse metalband doodgereden,"Baarlo: Drummer Finse metalband doodgereden 
	  De 30-jarige drummer van de Finse metalband Sole Remedy is in de nacht van zondag op maandag in Baarlo (Limburg) overleden door een verkeersongeval. Hij werd overreden toen de bestuurder van de truck met geluidsapparatuur van de band achteruit reed. Dat maakten politie en jongerencentrum Sjiwa maandag bekend. De band had vlak daarvoor opgetreden in het centrum. Het ongeval vond rond half twee plaats toen de drummer volgens een woordvoerder van Sjiwa tegen een hek lag te slapen en de truck vanaf de oprit de weg op reed. De 50-jarige chauffeur uit Baarlo zag de Fin daarbij over het hoofd. De man stierf ter plaatse. De vrijwilligers van Sjiwa, waar afgelopen weekeinde het jaarlijkse festival ProgPower Europe plaatsvond, zitten er helemaal doorheen, meldt een woordvoerder.		",2011-10-03,,
Ouddorp - N57: Doden ongeluk N57 Brabantse familie,"
	  Een aanrijding op de N57 bij Ouddorp heeft vrijdag het leven gekost aan een 49-jarige man, zijn 52-jarige vrouw en hun 15-jarige dochter. Een tweede dochter (18) is gewond geraakt. Haar toestand is stabiel. De vier zaten in een personenauto, die in botsing was gekomen met een vrachtwagen bij Ouddorp-Haven. De familie komt uit Eindhoven. Volgens Omroep Brabant zou het gaan om twee uitbaters van een restaurant in Veldhoven. De auto is over de kop geslagen en de slachtoffers raakten bekneld. Personeel van de traumahelikopter heeft eerste hulp verleend. De N57 bij Ouddorp Haven was na het ongeluk in beide richtingen afgesloten. Rond 20.00 uur werd de weg weer vrijgegeven. Het KLPD onderzoekt de toedracht van het ongeluk. Het zou volgens de politie niet aannemelijk zijn dat de personenauto zou hebben ingehaald. Het is dus niet bekend wie op de verkeerde weghelft is beland.		",2012-04-20,,
Stadskanaal: Dodelijk ongeluk,"
	  In Stadskanaal is maandagmiddag aan de Hoofdstraat rond twee uur een ongeluk gebeurd tussen een 55-jarige automobilist en een 78-jarige fietser. De fietser is hierbij om het leven gekomen. De automobilist was vlak voor het ongeluk nog tegen enkele geparkeerde auto's aan de Hemenweg gereden. Vervolgens is hij via het voetgangersgebied  op de Hoofdstraat uitgekomen, waar hij de 78-jarige vrouw heeft aangereden. De vrouw stierf kort daarna aan haar verwondingen. De politie heeft ondertussen de automobilist aangehouden en doet een nader onderzoek naar de oorzaak van de aanrijding. http://www.dvhn.nl/stelling/article11780773.ece/ALTERNATES/w224h148/stadskanaal.jpg		",2014-10-13,,
Woubrugge - N446: Dodelijk ongeval,"
	  Bij een eenzijdig ongeval eind van de middag op de N446 tussen Hoogmade en Woubrugge is een persoon om het leven gekomen, het gebeurde ter hoogte van voetbal vereniging MMO in Hoogmade. De hulpdiensten werden rond 15:20 opgeroepen en kregen de melding 'Beknelling Zwaar' mee, ook werd er een traumahelikopter opgeroepen. De bestuurder is door de hulpdiensten uit het voertuig gehaald waarna hij enige tijd gereanimeerd is door het ambulance personeel en dat van de traumahelikopter, helaas mocht dit niet baten. De VOA (Verkeers onderzoek analyse) kwam, alsmede de verkeerspolitie, ter plaatse om onderzoek te doen naar de toedracht van het ongeval. Een uitvaartondernemer heeft het lichaam opgehaald waarna een berger het voertuig heeft geborgen waarna het voertuig op een politie bureau verder onderzocht gaat worden. De N446 is tussen de Woubrugsebrug en Hoogmade tot ongeveer 18:00 afgesloten geweest. De Telegraaf schreef: Dode bij ongeval Hoogmade Op de weg tussen Hoogmade en Woubrugge (Zuid-Holland) is donderdagmiddag een 52-jarige man uit Alphen aan den Rijn om het leven gekomen. Hij raakte met zijn auto door nog onbekende oorzaak van de weg op de N446 bij Ofwegen en reed in volle vaart tegen een boom. De man overleed ter plekke aan zijn verwondingen, meldt de politie. In de auto zat niemand anders. De politie doet onderzoek naar de oorzaak van het ongeval.",2016-04-28,,
Ermelo: Vrouw overleden na ongeval,"Ermelo: Vrouw overleden na ongeval 
	  Een 77-jarige Ermelose is in de nacht van dinsdag op woensdag 26 november in het Utrechtse UMC overleden aan de gevolgen van een ongeval op de Hortensialaan. Het ongeval gebeurde dinsdagochtend en naar de oorzaak wordt een onderzoek ingesteld. De alarmcentrale kreeg omstreeks 11.45 uur een melding van een ongeval tussen een auto en een fietsster. Twee surveillance-eenheden van de Koninklijke Marechaussee die in de buurt waren, stelden een onderzoek in. Op de plaats van het ongeval werden een gewonde vrouw en een automobilist aangetroffen. Het slachtoffer werd ernstig gewond naar het Utrechtse ziekenhuis overgebracht, waar zij in de loop van de nacht is overleden. De toedracht van het ongeval is nog niet duidelijk en om die reden worden getuigen gevraagd om contact op te nemen met de Koninklijke Marechaussee via 055-5774444.		",2014-11-25,,
Santpoort-Noord: Dodelijk ongeval spoorwegovergang met scootmobiel,"
	  SANTPOORT-NOORD -  Bij een ongeluk op de spoorwegovergang bij station Santpoort-Noord is donderdagmiddag een man om het leven gekomen. De man werd op zijn scootmobiel gegrepen door de sneltrein van Beverwijk naar Haarlem. Dat gebeurde omstreeks 14.30 uur. Door het ongeluk ligt het treinverkeer tussen Haarlem en Beverwijk in beide richtingen stil.		",2007-05-24,,
Steggerda: Bestuurder overleden na ongeval,"Steggerda: Bestuurder overleden na ongeval 
	  Bij een eenzijdig ongeval op de Overburen in Steggerda is een 67-jarige man uit de gemeente Weststellingwerf overleden. Door nog onbekende redenen kwam de man in een sloot terecht en raakte hij hierbij zwaar gewond. De politie vermoed dat de man tijdens het rijden onwel werd en de macht over het stuur hierdoor verloor. Hulpdiensten die snel ter plaatse waren wisten het slachtoffer vrij snel uit het voertuig te krijgen met de nodige voorzichtigheid waarna geprobeerd is om met man en macht het leven te redden maar dit is helaas niet gelukt. De politie onderzoekt het ongeval waarna het voertuig zal worden geborgen. Nieuws-112 wenst familie en vrienden heel veel sterkte bij het verlies.",2015-08-04,,
Uddel - N302: 16-jarige bromfietser overleden na ongeval,"
	  Een 16-jarige bromfietser uit Zeewolde is in de nacht van vrijdag op zaterdag 14 mei overleden aan de gevolgen van een ongeval op 13 mei op de Meervelderweg in Uddel. De jongen reed omstreeks 15.30 uur met zijn bromfiets op het fietspad langs de Meervelderweg in Uddel richting Harderwijk. Uit tegenovergestelde richting kwam een bestelauto bestuurd door een 40-jarige man uit Assen. De bestelauto sloeg linksaf om het terrein van een winkel op te rijden en zag daarbij de bromfietser over het hoofd. De jongen heeft zeer hard geremd waardoor hij is gelanceerd en op de motorkap terecht is gekomen. De jongen raakte hierdoor ernstig gewond. Twee militairen verleenden eerste hulp aan de jongen. Er werd direct een traumahelikopter opgeroepen. Deze landde op de vluchtstrook bij de oprit van de A1. De ambulance die de jongen naar de heli zou brengen, kreeg onderweg pech. Uiteindelijk werd de jongen met een andere ambulance rechtstreeks, met begeleiding van de trauma-arts van de helikopter, naar het UMC in Utrecht vervoerd. Hier overleed hij later aan zijn verwondingen. De bestuurder van de auto is gehoord. Tegen hem zal proces-verbaal worden opgemaakt.		",2011-05-13,,
