Titel,Artikel,Datum,Confirmed_slachtoffers,Involved_vehicles
Fietser onderuit door gladheid in Enschede — 112Twente.nl,"De hulpdiensten zijn vanmiddag uitgerukt voor een melding van een ongeval op de Joke Smitlanden in Enschede 

Ter plaatse bleek er een fietser onderuit te zijn gegaan als gevolg van de gladheid  De fietser kwam met zijn been vast te zitten tussen de fiets en de trapper 
De brandweer werd opgeroepen ter assistentie  De fietser raakte gewond aan zijn been en is per ambulance overgebracht naar het ziekenhuis",2019/01/18,0,[2]
Fietser rijdt door na aanrijding met andere fietser in Diepenveen,"De fietser die vanavond betrokken was bij een aanrijding met een andere fietser op de Boxbergerweg in Diepenveen, is na het ongeval weggefietst  De politie zoekt hem 
 
Bij de aanrijding kwam één fietser ten val  Na de val bleek hij niet aanspreekbaar en werd hij met onbekend letsel door een ambulance overgebracht naar het ziekenhuis  De andere fietser, een 18-jarige jongen in donkere kleding en met een opvallend gekleurde en gebreide muts, reed na het ongeluk in de richting van Olst 

Het fietspad werd tijdelijk door de politie afgezet",2019/01/18,0,"[2, 2]"
Automobilist gewond na botsing met twee geparkeerde auto's in Dalfsen,"In Dalfsen is een automobilist gewond geraakt nadat hij de macht over het stuur was verloren op het Pleijendal  De man ramde twee auto's die geparkeerd stonden bij de naastgelegen Action 

Mogelijk werd de man onwel en is dat de oorzaak van het ongeval  De brandweer moest hem uit de auto bevrijden  Hij is met de ambulance naar het ziekenhuis gebracht 

Het personeel van de Action schrok van de harde knal, maar de winkel werd niet geraakt  Bij diezelfde winkel ging het een aantal jaar geleden flink mis toen een automobilist bij het gebouw naar binnen reed",2019/01/18,0,"[5, 5, 5]"
Auto eindigt in sloot naast rondweg in Delden,"Een auto is in een sloot tot stilstand gekomen naast de rondweg in Delden  Een persoon zat bekneld in de auto en is door de brandweer bevrijd 

Het is onduidelijk waarom de auto van de weg is geraakt  

Volgens de bestuurder zaten er in het voertuig nog meer personen  Deze zijn na een zoekactie van de hulpdiensten niet aangetroffen 

De weg is voor een deel afgezet voor het overige verkeer",2019/01/18,0,[5]
Gewonde bij botsing in Middelburg,"Bij een botsing in Middelburg is vrijdagmiddag één persoon gewond geraakt 

Het ongeval vond rond 15 35 uur plaats op de Kleverskerkseweg  Hier kwamen door nog onbekende oorzaak twee personenauto’s met elkaar in botsing  Eén van de bestuurders raakte gewond en is met een ambulance naar het ziekenhuis gebracht  De overige betrokkenen werden onderzocht door het ambulancepersoneel, maar werden niet meegenomen naar het ziekenhuis 

Beide auto's werden meegenomen door een bergingsbedrijf",2019/01/18,0,[5]
Valpartijen op spekglad fietspad Goes,"Meerdere fietsers zijn vanmorgen ten val gekomen op het fietspad langs de Anthony Fokkerstraat in Goes 

Door het bevriezen van het wegdek ligt er op het fietspad een ijslaag  Rond 08 45 uur werden een ambulance en traumahelikopter opgeroepen voor een vrouw die gewond was geraakt na een val  De helikopter is niet meer ingezet  Het slachtoffer is met onbekend letsel naar het ziekenhuis gebracht 

De politie heeft de fietsers tot 09 30 uur geadviseerd af te stappen  Hierna is het fietspad door de gemeente gestrooid  Een verkeersregelaar waarschuwt de fietsers op dit moment voor de lokale gladheid",2019/01/18,0,[2]
Automobiliste mist bocht en rijdt sloot in,"Een vrouw is vrijdagavond in Arnhem gedeeltelijk in de sloot beland met haar auto nadat ze de bocht had gemist  Ze kon er zelf ongedeerd uitstappen 

Het ongeluk gebeurde even na 18  De vrouw reed op Het Hout, toen ze een bruggetje over moest om de grote sloot over te steken  Maar in plaats van met de bocht mee te rijden reed ze rechtdoor, en belandde met de voorkant van de auto in de sloot 

De auto liep waterschade op en wordt geborgen door een bergingsbedrijf",2019/01/18,0,[5]
Twee gewonden bij ernstig ongeluk Weert,"Een automobilist is vrijdagavond tegen een lichtmast gebotst in Weert  Twee personen raakten gewond bij het ongeval 
Het ging rond half tien mis op de rotonde op de N280 met aansluiting op de Ittervoorterweg 

Traumahelikopter
De bestuurder en de bijrijder zijn met onbekende verwondingen overgebracht naar het ziekenhuis  Voor de hulpverlening ter plekke werd een traumahelikopter opgeroepen, maar deze werd tijdens de vlucht geannuleerd 

De auto liep forse schade op en moest worden afgesleept door een berger  De lichtmast was uitgeschakeld door de klap 

Het is niet bekend hoe het ongeluk heeft kunnen gebeuren  De politie heeft een onderzoek ingesteld naar de toedracht van het ongeval",2019/01/18,0,[5]
Auto op de kop in de sloot in Heibloem,"Een auto is in Heibloem op de kop in een sloot beland 
Dat gebeurde vrijdagochtend rond zeven uur en was waarschijnlijk het gevolg van gladheid op de Boerderijweg  Daarbij is een persoon bekneld geraakt",2019/01/18,0,[5]
"Auto crasht in Egmond aan den Hoef, bestuurder blijkt verdwenen","Een auto is in de nacht van vrijdag op zaterdag gecrasht op de Hoeverweg (N512) in Egmond aan den Hoef  Van de bestuurder ontbreekt ieder spoor 

De politie kreeg even voor 7 00 uur melding van de zwaar beschadigde auto die langs de weg was aangetroffen  Omdat niet duidelijk was of er nog een persoon in het voertuig zat, kwam ook een ambulance ter plaatse 

Bij aankomst bleek de bestuurder verdwenen  De auto moet ’s nachts een flinke klap hebben gemaakt  Met het voertuig is eerst een paal uit de grond gereden, de auto is vervolgens enkele meters verderop in de berm tot stilstand gekomen  Ambulancepersoneel vermoedt dat de automobilist gewond moet zijn geraakt en behandeling in het ziekenhuis nodig heeft 

Bij de auto werden twee kratten bier en verschillende lege flesjes aangetroffen  Of dat iets met het ongeval te maken heeft, is nog niet met zekerheid te zeggen 

Een berger zal het voertuig ophalen",2019/01/19,0,[5]
Automobilist vliegt over de kop en raakt gewond bij Marknesse,"De brandweer heeft vrijdagmorgen aan de Leemringweg (N719) ter hoogte van de Kleiweg voor Marknesse een man uit zijn auto moeten bevrijden  De man was met zijn auto over de kop geslagen en in de sloot beland  De vermoedelijke oorzaak is gladheid 

De brandweerlieden moesten een ladder over de sloot leggen waarna zij de man uit zijn benarde positie konden bevrijden  De bemanning van een ingeschakelde traumahelikopter verleende medische ondersteuning waarna de automobilist naar het ziekenhuis is gebracht 

De weg was rond 12 00 uur nog afgesloten voor verkeer in verband met het  politieonderzoek",2019/01/18,0,[5]
Automobilist gewond door botsing met vrachtwagen bij Geesteren,"Bij een botsing tussen een auto en vrachtwagen op de N343 tussen Langeveen en Geesteren is vanochtend een persoon gewond geraakt 

De bestuurder van de auto is per ambulance naar het ziekenhuis gebracht  Hoe ernstig de verwondingen precies zijn, is niet bekend  De chauffeur van de vrachtwagen bleef ongedeerd 

Het ongeluk gebeurde iets voor 6 00 uur op de Hardenbergerweg  Daarna is de deze weg korte tijd afgesloten geweest, terwijl het verkeer over het fietspad werd geleid",2019/01/19,0,"[5, 12]"
Wielrenner gewond na botsing in Kerkenveld,"Bij aan ongeluk aan het Gedempte Hoofddiep in Kerkenveld is vanmiddag een wielrenner gewond geraakt 

De wielrenner kwam door nog onbekende oorzaak in botsing met een kleine vrachtauto  Hij is voor onderzoek naar het ziekenhuis gebracht",2019/01/18,0,"[2, 12]"
Motorrijder schept voetganger,"Vrijdagavond heeft er op de Churchillweg in Schiedam een aanrijding plaatsgevonden tussen een voetganger en een motorrijder  Zowel de voetganger als de berijder van de motor raakte hierbij gewond 

Naar ziekenhuis
Twee ambulances kwamen met spoed ter plaatse  De weg werd afgesloten voor alle verkeer in de richting Hof van Spaland  Beide slachtoffers zijn per ambulance overgebracht naar het ziekenhuis  De politie doet onderzoek naar de toedracht van het ongeval",2019/01/18,0,"[4, 1]"
Flinke aanrijding in De Mortel. Een persoon naar ziekenhuis. ⋆ 112nieuwsonline,"Op de kruising Renseweg en Lochterweg in De Mortel heeft vrijdagavond rond 19 15 uur een aanrijding plaatsgevonden  Twee auto’s kwamen hard met elkaar in botsing  Een van de automobilisten zag een auto die van rechts kwam over het hoofd  Een persoon raakte gewond bij het ongeval  Het slachtoffer is afgevoerd naar het ziekenhuis  De ander bestuurder is nagekeken door het ambulance personeel, maar hoefde niet mee maar het ziekenhuis  De schade aan beide auto’s was zo groot dat deze zullen worden opgehaald door een bergingsbedrijf  De politie maakt een rapport op over het ongeval",2019/01/18,0,"[5, 5]"
Auto belandt in de sloot: één gewonde,"In Heibloem is vrijdagmorgen een auto op z'n kop in een sloot beland  Daarbij is de automobilist gewond geraakt 

Het ging iets na 07:00 uur mis op de Boerderijweg 

Spekglad
Meerdere hulpdiensten zijn opgeroepen om naar de plek van het ongeval te gaan  Volgens een eerste melding zou de inzittende zwaar bekneld in het voertuig zitten  Vermoedelijk heeft een spekgladde weg ervoor gezorgd dat de bestuurder de macht over het stuur verloor",2019/01/18,0,[5]
Dronken scooterrijder raakt rijbewijs kwijt na ongeval in Haaksbergen,"De hulpdiensten zijn vrijdagavond uitgerukt voor een ongeluk op de Zeedijk in Haaksbergen  Ter plaatse bleek dat een dronken scooterrijder onderuit was gegaan  Zijn rijbewijs is ingevorderd 

De brokkenpiloot leek zelf niet zo onder de indruk van de gebeurtenis  Na zijn val waren omstanders bezig met het verlenen van eerste hulp, maar zat het slachtoffer op de stoep een shaggie te draaien  De man is nagekeken door het ambulancepersoneel  Zij roken een alcohollucht en dus besloten de hulpdiensten een blaastest bij hem af te nemen 

Verzet
Met pijn en moeite ging de man mee naar de servicepost van de politie, waar hij aan de ademhalingsanalyse moest  Hier had hij geen zin in en dus staakte hij na enkele pogingen de test  Toen verbalisanten de man uitlegde dat hij bij weigering een proces-verbaal zou krijgen met vergaande gevolgen, was hij ook niet onder de indruk  Hij vond het wel genoeg zo 

Het rijbewijs van de man is ingevorderd  De zaak wordt voor de rechter gebracht en de brokkenpiloot kan rekenen op een flinke straf",2019/01/19,0,[3]
Beschonken man rijdt lantaarnpaal omver in Hengelo,"Een beschonken man reed gisteravond een lantaarnpaal uit de grond aan de Haaksbergerstraat  Hij moest mee naar het bureau voor een ademanalyse  

Het ongeval gebeurde rond 23 50 uur ter hoogte van het Shell tankstation  Nadat de politie een blaastest uitvoerde moest de man mee naar het bureau voor een ademanalyse  Hoeveel alcohol de man precies in zijn bloed had is niet duidelijk  De lantaarnpaal is van de straat gehaald, de auto werd afgesleept",2019/01/19,0,[5]
"Auto vliegt uit de bocht door gladheid in Almelo, bestuurder ongedeerd","Een automobilist kreeg vrijdagavond de schrik van zijn leven toen zijn auto plots begin te slippen en onbestuurbaar werd op de Weezebeeksingel in Almelo  Door de gladheid verloor hij de controle over het stuur en verdween in de bosjes  De man bleef wonderwel ongedeerd 

Het ongeval gebeurde ter hoogte van de waterzuivering  De bestuurder raakte niet gewond, zijn voertuig is door een berger afgesleept  De auto raakte zwaar beschadigd  

Het kan op sommige plekken glad zijn op de weg door de vorst  Strooidiensten zijn daarom op verschillende plekken weer uitgerukt om de gladheid te bestrijden",2019/01/18,0,[5]
Fietser rijdt door na aanrijding met andere fietser in Diepenveen,"De fietser die vanavond betrokken was bij een aanrijding met een andere fietser op de Boxbergerweg in Diepenveen, is na het ongeval weggefietst  De politie zoekt hem 

Bij de aanrijding kwam één fietser ten val  Na de val bleek hij niet aanspreekbaar en werd hij met onbekend letsel door een ambulance overgebracht naar het ziekenhuis  De andere fietser, een 18-jarige jongen in donkere kleding en met een opvallend gekleurde en gebreide muts, reed na het ongeluk in de richting van Olst 

Het fietspad werd tijdelijk door de politie afgezet",2019/01/18,0,"[2, 2]"
Auto over de kop in het water in Hazerswoude-Dorp,"Een auto is vrijdagmiddag op de kop in het water beland op de Bentweg in Hazerswoude-Dorp  Een bewoner heeft de achterklep geopend, waardoor de bestuurder de auto kon verlaten 

De man raakte niet gewond door het ongeval  Duikers hebben nog gezocht naar eventuele andere personen in het water, maar die zijn niet gevonden 

De auto wordt door een berger uit het water gehaald  Hoe de auto in het water terecht is gekomen, is niet bekend",2019/01/18,0,[5]
Scooterrijder gewond na glijpartij in Waspik | Foto,"Een man is vrijdagmiddag gewond geraakt toen hij met zijn snorscooter onderuit ging op de Spoorstraat in Waspik  Hij is door het ambulancepersoneel behandeld  

Het ongeluk gebeurde rond 16 00 uur vrijdagmiddag  De scooterrijder ging onderuit door het gladde wegdek  Het was een eenzijdig ongeval  

De man werd door omstanders en buurtbewoners opgevangen totdat de ambulance en politie arriveerden",2019/01/18,0,[3]
Fietser gewond na aanrijding met bestelbus bij Ruinerwold,"Een fietser is vrijdagmiddag ten val gekomen na een aanrijding met een bestelbus  Het ongeval gebeurde op de kruising van Oosteinde en de Dokter Larijweg, net buiten Ruinerwold 

De fietser vertelde dat hij behoorlijk last van zij hoofd had en is per ambulance overgebracht naar het ziekenhuis",2019/01/18,0,"[2, 8]"
Auto rechtdoor op rotonde in Hoogezand,"Een automobilist is vrijdagmorgen rechtdoor over een rotonde aan de Kielsterachterweg in Hoogezand gereden  De oorzaak is nog onduidelijk 
Een van de twee inzittenden is meegegaan naar het ziekenhuis voor behandeling",2019/01/18,0,[5]
Auto tegen boom op de N362,Op de Gereweg(N362) bij Midwolda is vrijdagmorgen om 08:10 uur een auto tegen een boom tot stilstand gekomen  1 persoon werd in een ambulance gecontroleerd  Vermoedelijk is de oorzaak van het ongeval de gladheid  Fruitema berging heeft de auto geborgen,2019/01/18,0,[5]
Verschillende ongelukken door gladheid,"In verschillende delen van het land heeft de gladheid geleid tot ongelukken  In veel gevallen gaat het om gevallen fietsers en van de weg geraakte automobilisten  Berichten over ernstige verwondingen zijn er tot dusverre niet 

Het KNMI waarschuwde eerder dat er donderdagavond en vrijdagochtend winterse buien over het land konden trekken en dat wegen als gevolg daarvan glad zouden kunnen zijn  In Zeeland belandden vrijdagochtend minstens drie auto’s in de sloot door de gladheid  Twee keer gebeurde dat op de Oud Vossemeersedijk in Oud-Vossemeer 

De politie Haarlemmermeer en de politie Haarlemmerliede besloten vanwege meerdere meldingen van ongevallen een waarschuwing eruit te gooien  ,,Er komen diverse meldingen binnen van ongevallen door gladheid  Let op uw snelheid!’’, twitterde de politie in deze regio 

In Rotterdam zag een gevallen fietser een zilveren randje, blijkt uit een tweet van de politie Rotterdam-Oost  ,,Gevallen fietser nummer zoveel, deze keer 'slechts' een dikke lip  Slachtoffer met humor: Nu heb ik geen botox meer nodig!’’, twittert de politie",2019/01/18,0,"[5, 2]"
Meerdere ongevallen door gladheid in Haarlemmermeer,"De politie Haarlemmermeer waarschuwt vrijdag voor meerdere ongevallen door gladheid in de regio  Zo raakte een automobiliste in Hoofddorp in de slip en ramde een boom 

De bestuurster verloor in de Rosa Spierstraat door de gladheid de controle over haar auto  Ze reed tegen een geparkeerde wagen en kwam tegen de boom tot stilstand 

De vrouw is gecontroleerd in de ambulance, maar hoefde niet mee naar het ziekenhuis  De auto heeft flinke schade en is weggesleept door een berger 

Het is niet de enige glijpartij in de gemeente  ,,Er komen diverse meldingen binnen van ongevallen door gladheid  Let op uw snelheid!’’, twitterde de politie",2019/01/18,0,[5]
Gewonde bij zware kop-staartbotsing op N201 bij Uithoorn,"Bij een botsing tussen twee auto's op de N201 bij de afrit Uithoorn is aan het begin van de avond iemand gewond geraakt 

Over de aard en de ernst van het letsel is niets bekend, maar volgens getuigen wordt het slachtoffer naar het ziekenhuis gebracht  

Hoe het ongeluk heeft kunnen gebeuren, is nog niet bekend  Op foto's is te zien dat de achterste auto achterop de voorste auto is gebotst  De politie Amsterdam meldt via Twitter dat één van de auto's in de vangrail is terechtgekomen  

Door het ongeluk is de weg ter hoogte van de afrit Uithoorn tijdelijk afgesloten  Tussen Aalsmeer en Uithoorn staat daardoor inmiddels twee kilometer file, die een klein half uur vertraging oplevert",2019/01/18,0,"[5, 5]"
"Harde botsing op A4, één auto in de vangrail, één ondersteboven in het water","Een automobilist is donderdagavond door een harde botsing op de kop in het water beland  Het ongeval vond plaats op de A4 richting Amsterdam  De andere auto is verderop in de vangrails geëindigd 

Gezien de ernst van de melding werd ook het mobiel medische team opgeroepen  Het ambulance personeel heeft zich uiteindelijk ontfermt over de bestuurster 

Geen gewonden
Gelukkig is er bij het ongeval niemand gewond geraakt  Rijkswaterstaat heeft gezorgd voor een veilige werkomgeving voor de hulpverleners door middel van kruizen, Weginspecteurauto's en botsabsorbers de afrit en een rijbaan af te sluiten  de bergingsdienst heeft de auto's meegenomen",2019/01/18,0,"[5, 5]"
Veel schade bij botsing tussen auto en vrachtwagen op de (N242) in Heerhugowaard - 112WestFriesland.nl,"Vrijdagmiddag 18 januari rond 15 00 uur is veel schade ontstaan na een invoegfoutje op de (N242) in Heerhugowaard  Een auto en een vrachtwagen waren met elkaar in botsing gekomen nadat de bestuurster van de auto op het laatste moment wilde invoegen en de vrachtwagen deze auto aantikte 

Hulpdiensten
Politie, een weginspecteur en een bergingsbedrijf kwamen ter plaatse  Verkeer ondervond enige hinder van het ongeval  Niemand raakte gewond door de botsing  De personenauto raakte flink beschadigd en werd afgesleept",2019/01/18,0,"[12, 5]"
Auto botst met fietser,"De hulpdiensten zijn donderdag rond 11 00 uur gealarmeerd voor een verkeersongeval op de Graafschap Hornelaan in Weert 

Ter hoogte van de Wittevrouwenstraat waren een personenauto en fietser met elkaar in botsing gekomen  De fietser raakte lichtgewond bij het ongeval en is voor controle overgebracht naar het ziekenhuis 

De fiets raakte beschadigd en is bij buurtbewoners gestald  De auto liep minimale schade op en kon nadat de bestuurder de gegevens had uitgewisseld zijn weg vervolgen",2019/01/17,0,"[2, 5]"
A4 Delft richting Rotterdam dicht door forse aanrijding met meerdere voertuigen,"Door een flinke aanrijding op de A4 Delft richting Rotterdam, ter hoogte van Schipluiden, is de weg afgesloten  Bij het ongeluk waren zes auto’s, een vrachtwagen en een kleine vrachtwagen betrokken  Twee mensen zijn naar het ziekenhuis vervoerd  

De snelweg richting Rotterdam, tussen Rijswijk en Delft, is dus afgesloten  Dat gaat tot vanavond laat duren  Verkeer kan voorlopig omrijden via de A13  

Meerdere ambulances en het traumateam zijn ter plaatse om de slachtoffers te helpen   Volgens Senior Weginspecteur Micheal is er ook een kindje met spoed naar het ziekenhuis gebracht  De politie kan dit nog niet bevestigen  

Hoe het ongeluk precies heeft kunnen gebeuren is nog onduidelijk",2019/01/17,0,"[5, 5, 5, 5, 5, 5, 5, 12, 12]"
Ravage na botsing tussen auto en vrachtwagen in Alphen,"Een auto en een vrachtwagen zijn rond 14:45 uur tegen elkaar gebotst op de Eikenlaan in Alphen  Er raakte niemand gewond, maar de schade aan de personenauto was groot 

Her en der op de weg lagen na het ongeval brokstukken van de auto  De vrachtwagen kwam er beter vanaf, met, met slechts kapotte koplampen  De politie heeft de straat voor een deel afgezet  Hoe de botsing heeft kunnen plaatshebben is niet bekend",2019/01/17,0,"[5, 12]"
Fietser gewond bij verkeersongeluk Paddepoel,"Bij een verkeersongeluk donderdagmiddag op de Dierenriemstraat in de wijk Paddepoel is een fietser gewond geraakt  Dat meldt de incidentenwebsite groningsnieuws 

Het ongeluk gebeurde rond 16 00 uur ter hoogte van het winkelcentrum  “Een fietser is door nog onbekende oorzaak ten val gekomen”, vertelt incidentfotograaf Wesley Bos  “Er gaan verhalen dat hij is aangereden door een automobilist die daarna is door gereden, maar dat is niet bevestigd ” Hulpdiensten waren snel ter plaatse  Ambulancemedewerkers hebben het slachtoffer gestabiliseerd en daarna overgebracht naar het ziekenhuis 

De politie doet onderzoek naar de precieze toedracht van het ongeluk",2019/01/17,0,"[2, 5]"
Ongeval met letsel op Heinoseweg,"De brandweer van Zwolle is donderdag 17 januari gealarmeerd voor een ongeval met letsel op de Heinoseweg  De melding werd om 11:24 uur  via het P2000 netwerk verzonden naar de brandweer van Zwolle, die met spoed ter plaatse is gegaan",2019/01/17,0,[0]
Soester Jean Heijl raakt ernstig gewond,"De bekende Soester presentator Jean Heijl is donderdagmorgen ernstig gewond geraakt bij een aanrijding op de Dalweg in Soest 

Hij is met gecompliceerde been- en armbreuken opgenomen in het Meander Medisch Centrum in Amersfoort  Heijl was op weg naar Radio Soest waar hij een programma zou presenteren 

Omdat het regende was hij niet op de fiets, maar te voet naar de studio gegaan  Op een zebrapad ter hoogte van de rotonde Dalweg-Beukenlaan Beukenlaan werd hij tegen half negen geschept door een automobiliste 

Die had hem als gevolg van de harde regen niet gezien 

Later donderdag werd even verderop op de Dalweg, ter hoogte van de Gaesbeekerhof, een fietsster aangereden door een afslaande automobilist  Ook zij is gewond naar het ziekenhuis gebracht",2019/01/17,0,"[1, 5, 2]"
Gewonde bij auto te water in Noordbeemster,"Een auto is donderdagavond in het water terechtgekomen op de Westdijk in Noordbeemster  Een 32-jarige vrouw uit Heerhugowaard is daarbij gewond geraakt 

De politie vermoedt dat de automobiliste over de Westdijk richting Schermerhorn reed, waarbij ze in een flauwe bocht in de berm is geraakt  Bij het terugsturen schoot ze over de rijbaan, sloeg aan de andere kant over de kop en kwam in de Beemsterringvaart terecht 

De vrouw is door omstanders en de brandweer op het droge gehaald  Ze is in zorgwekkende toestand naar het ziekenhuis overgebracht 

Het voertuig is uit het water gehaald door een kraan van omwonenden  De auto is zwaarbeschadigd 

De brandweer heeft met duikers gezocht in het water naar mogelijk meerdere personen  Die werden uiteindelijk niet gevonden 

Het is nog niet bekend hoe het met de vrouw gaat",2019/01/17,0,[5]
Twee gewonden bij ernstig ongeluk in Nederweert,"Bij een ernstig ongeluk in Nederweert zijn donderdagavond twee personen gewond geraakt 
Het ging mis op de Randweg Zuid bij de kruising met de N266 richting Helmond, waar twee auto's tegen elkaar botsten  Het ongeval gebeurde rond half elf  

Beknelling
De brandweer werd gealarmeerd omdat er sprake is van een beknelling  Het slachtoffer moest door de brandweer uit zijn auto worden bevrijd  

De andere automobilist kreeg snel medische hulp van het ambulancepersoneel",2019/01/17,0,"[5, 5]"
"Twee auto's botsen tegen elkaar in Ulft, een belandt in de sloot","Twee auto's zijn donderdag aan het begin van de avond tegen elkaar gebotst in Ulft  Eén van de auto's belandde daarbij in een bijna droogstaande sloot 

Vermoedelijk wilde een van de twee auto's vanaf Wesenthorstlaan in Ulft de Oude IJsselweg opdraaien, maar daarbij zag hij vermoedelijk de auto op de Oude IJsselweg over het hoofd  

De auto's raakten in tegenstelling tot de bestuurders wél flink beschadigd en zijn door een bergingsbedrijf afgevoerd",2019/01/17,0,"[5, 5]"
Automobiliste rijdt door heg een sloot in bij Beusichem en raakt gewond,"Een automobiliste raakte donderdag aan het eind van de middag met haar auto te water langs de N320 bij Beusichem  Ze raakte daarbij gewond 

De vrouw verloor vermoedelijk de macht over het stuur, schoot door een haag en belandde in de sloot naast de provinciale weg 

Door een ambulance is de vrouw met onbekende verwondingen naar het ziekenhuis gebracht 

Haar auto wordt door een bergingsbedrijf uit de sloot getakeld",2019/01/17,0,[5]
Auto in de sloot bij Saaksum,"Een automobilist is donderdagavond in de sloot beland tussen Saaksum en Roodehaan De man is vermoedelijk de macht over het stuur kwijt geraakt en schoot via de berm aan de andere kant van de weg in de sloot 

De bestuurder kon zelf uit de auto komen en aan de andere kant van de sloot op de wal kruipen  De hulpdienst hebben hem vervolgens over de sloot getild 

Afgesloten
Medewerkers van de ambulance hebben hem behandeld  De Roodehaansterweg is uren afgesloten wegens bergingswerkzaamheden  De wagen was flink beschadigd  Hoe de man de macht over het stuur kon verliezen, is onduidelijk",2019/01/17,0,[5]
Oprit A7 bij Scheemda afgesloten door botsing,"Bij de oprit van de A7 richting Winschoten bij Scheemda is donderdag aan het begin van de avond een ongeval gebeurd 

Twee auto's kwamen met elkaar in botsing  Een van de bestuurders raakte gewond en werd behandeld door de ambulancemedewerkers 

De oprit was door bergingswerkzaamheden enige tijd afgesloten",2019/01/17,0,"[5, 5]"
Politie zoekt getuigen van merkwaardig ongeluk bij St. Nicolaasga | Omrop Fryslân,"De politie in De Fryske Marren tast in het donker over een apart ongeluk donderdagmiddag  Op de Langwarderdyk in St  Nicolaasga was een auto tegen een boom gebotst, maar toen de politie na een melding op de plek van het ongeluk kwam, zat er niemand in de auto 

Niet lang daarna kwam een vrouw (40) op het politiebureau van Joure  Ze was volgens de politie bont en blauw en ze zei dat ze als passagier in de auto had gezeten die bij St  Nicolaasga tegen de boom was gebotst  De vrouw was zwaar onder invloed  ""Ondanks een onderbuikgevoel was het voor ons niet mogelijk om de vrouw als bestuurder of verdachte aan te merken"", zegt de politie 

De vrouw is aan haar verwondingen behandeld, maar kon dus niet worden aangehouden  De politie denkt niet dat er getuigen zijn van het ongeluk, maar vraagt mensen die meer weten of ze zich willen melden",2019/01/17,0,[5]
Automobilist richt ravage aan in Hellendoorn,"De politie is donderdagavond laat gealarmeerd voor een ongeval op de Reggeweg   Ter plaatse bleek dat een automobilist een flinke ravage heeft veroorzaakt  

De bestuurder is over een vluchtheuvel gereden en heeft daarbij twee gele paaltjes uit de grond gereden en vervolgens een lantarenpaal 

De bestuurder is aangehouden op verdenking van alcoholgebruik en is naar het politiebureau gebracht 

Het wegdek is bezaaid met glas en rommel de gemeente moet er aan te pas komen om het wegdek weer schoon te krijgen  Voor de lantarenpaal komt een speciaal bedrijf om stroom af te sluiten 

Een bergingsbedrijf moet de zwaar beschadigde auto afslepen",2019/01/17,0,[5]
Ongelukken op A58 door gladheid,"Als gevolg van winterse buien zijn er donderdagavond op de A58 diverse ongelukken gebeurt 

Het eerste ongeval vond rond 20 45 uur plaats op de oprit van de N57 naar de A58 in de richting van Vlissingen  Hier raakten vier auto’s van de weg  Bergingsbedrijf Kuzee heeft de voertuigen weggesleept  De weg was hiervoor enige tijd afgesloten 

Even na 21 00 uur vond er op de rijbaan van de A58 in de richting van Goes nog een ongeval plaats  Ook dit ongeluk vond plaats ter hoogte van Nieuw- en Sint Joosland  Hier is één auto weggesleept door het bergingsbedrijf 

Rond 22 00 uur moesten de bergers weer in actie komen voor wederom een ongeval ter hoogte van Nieuw- en Sint Joosland  Hier waren twee voertuigen met elkaar in botsing gekomen  Één hiervan moest worden weggesleept 

Het KNMI heeft code geel afgeven voor gladheid door winterse buien  Vrijdagochtend is er kans op gladheid door het opvriezen van het wegdek  De waarschuwing voor Zeeland is van toepassing tot 08",2019/01/17,0,"[5, 5, 5]"
Auto belandt in sloot naast parkeerplaats Aziëlaan - Alphens.nl,"Een auto is donderdagmiddag in de sloot langs de Aziëlaan in Alphen aan den Rijn beland  De bestuurder schoot met de auto over de rand van de parkeerplaats en maakte een duik in de naastgelegen sloot 

De automobilist raakte niet gewond bij het ongeval  Een berger heeft de auto uit de sloot getakeld",2019/01/17,0,[5]
Auto botst tegen lantaarnpaal en belandt in sloot in Nieuw-Lekkerland,"Een man is gisteren met zijn auto in een sloot langs de Schoonenburgweg bij Nieuw-Lekkerland beland  Mogelijk gebeurde het ongeluk door gladheid 

Het ongeluk gebeurde even voor elf uur 's avonds  De man reed in de richting van Streefkerk en raakte ongeveer honderd meter voor de kruising met de Zijdeweg de macht over het stuur kwijt  

De automobilist reed botste tegen een lantaarpaal en kwam met zijn auto in de sloot tot stilstand  De man is nagekeken door ambulancepersoneel maar hoefde niet mee naar het ziekenhuis 

Een bergingsbedrijf heeft de auto inmiddels uit de sloot gehaald",2019/01/18,0,[5]
"Auto slaat twee keer over de kop, bestuurder verlaat beschadigde auto ongeschonden","Een 29-jarige automobilist uit Kleef (D) is donderdagavond rond half zeven op de Hoge Horst in Groesbeek met zijn auto tweemaal over de kop geslagen, en vervolgens op de kop in een droge sloot tot stilstand gekomen  

De man raakte niet gewond  Hij kon op eigen gelegenheid uit de zwaar beschadigde auto komen 

Hij verklaarde dat hij schrok van een auto die vanuit een uitrit de weg op wilde  Zijn auto raakte in een slip en sloeg tot tweemaal over de kop  De auto is door een bergingsbedrijf afgevoerd",2019/01/17,0,[5]
