Unnamed: 0,Titel,Artikel,Datum
3094,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/32108' kon niet worden gevonden.    ",?/?/????
3095,Meisje (13) omgekomen bij ongeval - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"NIEUWERKERKÃ‚Â - Bij een ongeval op de Stolpweg ter hoogte van Nieuwerkerk is dinsdagmorgen een 13-jarig meisje uit de gemeente Schouwen-Duiveland om het leven gekomen na een botsing met een vrachtwagen.  Het ongeval vond even voor 7.00 uur plaats. Het meisje kwam door nog onbekende oorzaak in botsing met een vrachtwagen. Meerdere ambulances en een traumahelikopter zijn ingezet. Het slachtoffer is ter plaatse overleden aan haar verwondingen. De vrachtwagen, geladen met 26 kuub zand en bestuurd door een 41-jarige man uit Middelburg, kwam door het ongeval in de sloot terecht.  De politie is een uitgebreid sporenonderzoek gestart naar de toedracht van de botsing. De Stolpweg was tot in de middag afgesloten voor al het verkeer. 

                                                             Nog altijd missen we je.. het is alweer zo lang geleden, maar het lijkt alsof het nog maar net gebeurd is. Lieve lieve Jantine, het is zo erg, R.I.P.  Lieve Jantine, ik vraag me wel eens af hoe je er nu uit zou zien. Wij worden ouder, maar de foto's die er van jou zijn blijven altijd hetzelfde. We missen je.  Lieve Jantine, alweer bijna 3 jaar geleden, maar nog steeds zit je in mijn hart. Je zal ook altijd in mn hart blijven! Ik mis je! ? Lieve Jantine,

Het is al zo lang geleden maar nog iedere dag denk ik aan je. Ik zal je nooit vergeten! R.I.P. We zullen je nooit vergeten! &lt;3 Je was en bent mijn lieve zus",?/?/????
3096,Bejaarde overlijdt na aanrijding scootmobiel Enschede | NU - Het laatste nieuws het eerst op NU.nl,"Bejaarde overlijdt na aanrijding scootmobiel Enschede In Enschede is dinsdag een vrouw van 90 jaar om het leven gekomen. Ze reed op de Wethouder Beversstraat met haar scootmobiel tegen een auto aan. Daarin zat een 19-jarige jongen, die net als de vrouw uit Enschede komt. De bejaarde vrouw raakte zwaargewond en overleed korte tijd na het ongeval, aldus de politie.",06/6/2019
3097,Dodelijke aanrijding op N218 tussen Brielle en Oostvoorne | Blik op nieuws,"Dodelijke aanrijding op N218 tussen Brielle en Oostvoorne Bij een aanrijding tussen een personenwagen en een bus van Connexxion is zondagmorgen een 45-jarige man uit Hellevoetsluis om het leven gekomen. De aanrijding vond plaats op de Schrijversdijk (N218) tussen Brielle en Oostvoorne. 
    In de bus zaten meerdere passagiers waarvan ÃƒÂ©ÃƒÂ©n persoon aangaf nekklachten te hebben. Deze is door medewerkers van de ambulance ter plaatse behandeld. De overige passagiers zijn met vervangend vervoer overgebracht naar het politiebureau in Brielle.  
De politie is met de Verkeers Ongevallen Groep een uitgebreid onderzoek gestart. De passagiers van de bus worden op het bureau gehoord als getuigen. Onderzoeksresulaten zullen uitwijzen wat er precies is gebeurd.  
De Schrijversdijk is vanwege het onderzoek in beide richtingen afgesloten. In de loop van de dag zal de weg worden vrijgegeven. Meer foto's op blik op 112",18/9/2011
3098,Wielrenster die zwaargewond raakte bij ongeluk in Bentelo in ziekenhuis overleden - RTV Oost,"

								Wielrenster die zwaargewond raakte bij ongeluk in Bentelo in ziekenhuis overleden

							 Hulpverlening na ernstig ongeluk in Bentelo Hulpverlening na ernstig ongeluk in Bentelo 

						De wielrenster die gisteravond gewond raakte bij een ongeluk in de omgeving van Bentelo is overleden.

					 De 55-jarige vrouw uit Ambt Delden bezweek vannacht in het ziekenhuis in Enschede aan haar verwondingen. Ze fietste met haar man over de Schonevelsweg. Toen daar een tegemoetkomende trekker passeerde vielen de man en de vrouw, waarbij zij ernstig hoofdletsel opliep.Ã‚Â  Er werd een traumahelikopter ingezet om de vrouw te medische zorg te geven. Ze werd uiteindelijk met een ambulance naar het ziekenhuis gebracht.",8/7/2016
3099,Man uit Groningen omgekomen bij treinongeval | Blik op nieuws,"Man uit Groningen omgekomen bij treinongeval Donderdagochtend verongelukte een 33-jarige man uit Groningen op de onbewaakte spoorwegovergang aan de Borgercompagniesterstraat in Sappemeer. 
    De overgang ligt tussen het treinstation Sappemeer en De Vosholen. De Groninger was even daarvoor, op het station Sappemeer, uitgestapt en stak met zijn fiets de onbewaakte overgang plotseling over. Een lege trein, komende vanuit Groningen, maakte een noodstop echter het slachtoffer overleed ter plekke.  ",6/12/2012
3100,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/35136' kon niet worden gevonden.    ",?/?/????
3101,Motorrijder die overleed bij ongeluk in Twello is 47-jarige man uit Epe - RTV Oost,"Overleden motorrijder is 47-jarige man uit Epe 

						De motorrijder gisteravond om het leven kwam bij het eenzijdig verkeersongeluk is een 47-jarige man uit Epe.

					 De man reed gisteravond over de H.W. Iordensweg bij Twello en verloor door nog onbekende oorzaak de macht over het stuur in een bocht. Daardoor raakte hij van de weg en knalde hij tegen een boom. De motor vloog vervolgens in brand. Omstanders hebben nog geprobeerd om de man te reanimeren, maar die hulp mocht niet meer baten. Het slachtoffer overleed ter plekke. De politie onderzoekt de toedracht van het ongeluk.",27/8/2015
3102,"Rijkswaterstaat Verkeersinfo | Files, nieuws en meer over de snelweg"," voor meer informatie.
   Door gebruik te maken van deze website geef je toestemming voor het gebruik van cookies.
 
   document.title = ""Rijkswaterstaat Verkeersinfo | Langdurige afsluiting op A29 door ernstig ongeval"";
 Langdurige afsluiting op A29 door ernstig ongeval Vanmorgen omstreeks kwart voor twaalf vond op de A29, Rotterdam richting Bergen op Zoom, een ernstig ongeval plaats. Ter hoogte van knooppunt Sabina kantelde een vrachtwagen waarbij niet giftig en niet brandbaar gasolie vrijkwam. Bij het ongeval is de bestuurder helaas om het leven gekomen. Ter hoogte van knooppunt Sabina is de verbindingsweg naar de A59 richting Fijnaart afgesloten geweest en werd er ter hoogte van knooppunt Vaanplein een omleiding ingesteld. Het verkeer richting Roosendaal werd geadviseerd via de A15, A16 en A17 richting Nijmegen/Breda te rijden. Na het bergen van het stoffelijk overschot is rond vijf over drie vanmiddag weer 1 rijbaan vrijgegeven. Vanavond na 20.00 uur wordt de weg weer afgesloten om zowel de vrachtwagen te bergen als de geleiderail te repareren. Donderdagavonddrukte. Het weer zal niet echt in de weg zitten, maar de dagelijkse drukte is op donderdag hoog.   Bij een reguliere spits wordt tot 225 km verwacht.
      Alle knelpunten hebben files.
    Er waait deze ochtend een stevige wind, maar het is wel droog. Als je de weg op gaat houd dan vooral rekening met die wind. Verder verwachten we - zoals gebruikelijk op vrijdag - weinig woon-werkverkeer. Noemenswaardige drukte zien we pas tegen 08.00 uur.  , m.u.v.
   elementen waarbij de rechthebbenden zijn vermeld. Overname en deeplinken alleen toegestaan na
     van Rijkswaterstaat is van toepassing.
",16/12/????
3103,Binnenland | Het laatste nieuws uit Nederland leest u op Telegraaf.nl,"{""@context"":""http://schema.org"",""@type"":""NewsArticle"",""headline"":""Chocolademelk goedgekeurd, wel overdosis suiker"",""dateline"":""Amsterdam, NL"",""datePublished"":""2019-03-27T11:48:44.000Z"",""dateModified"":""2019-03-27T12:21:06.000Z"",""description"":""Verreweg de meeste chocolademelk die in Nederland wordt verkocht, heeft een keurmerk op het gebied van eerlijke handel en mensenrechten. Dat zegt alleen niets over de gezondheid of zelfs de prijs van het product."",""articleBody"":""Bureau Questionmark, dat de duurzaamheid van producten onderzoekt, vergeleek negentien soorten chocolademelk. Daarbij werd gekeken of het drankje was gecertificeerd en welk suikergehalte het bevatte.\n\nBovenaan eindigde de eigen merk chocolademelk Ã¢â‚¬â„¢classicÃ¢â‚¬â„¢ van Albert Heijn met het UTZ-certificaat en slechts 7,5 gram suiker per liter erin. Het ligt in de schappen voor Ã¢â€šÂ¬0,81. Ook goed scoorde de tweemaal zo dure Chocomel Dark.\n\nTony Chocolonely\n\nTony Chocolonely, het Nederlandse merk dat zich voorstaat op zijn duurzaamheid, wordt door de onderzoekers geprezen omdat het bedrijf zelf ook zegt te investeren in arbeidsomstandigheden van plantagewerkers. Op de gezondheid van consumenten let Tony echter minder goed: het suikergehalte ligt hoog met 12,1 gram. Daarom staat deze chocomelk op plaats 14 in de lijst.\n\nZonder keurmerk\n\nDrie merken gebruikten ongecertificeerde cacao, hoewel in diverse productielanden zoals Ghana en Ivoorkust veel mis gaat op het gebied van arbeidsomstandigheden en kinderarbeid.\n\nQuestionmark signaleerde onder meer BonOmel van het bekende FrieslandCampina (dat ook Chocomel maakt). Per liter betaalt men voor deze kleinverpakkingen Ã¢â€šÂ¬1,24 bij Jumbo.\n\nHet keurmerkloze Choco!Choco, waarvoor notabene de Ã¢â‚¬â„¢kinderbandÃ¢â‚¬â„¢ K3 reclame maakte, ligt voor Ã¢â€šÂ¬0,99 bij Jan Linders en in kleinverpakking bij Albert Heijn voor Ã¢â€šÂ¬1,80 per liter. De derde keurmerkloze chocolademelk van het Belgische Inex kost omgerekend per liter Ã¢â€šÂ¬1,36."",""author"":{""@type"":""Person"",""name"":""Pieter van Erven Dorens""},""publisher"":{""@type"":""Organization"",""logo"":{""@type"":""ImageObject"",""url"":""https://www.telegraaf.nl/statics/images/telegraaf-logo.png"",""name"":""Telegraaf""},""name"":""TMG Landelijke Media B.V""},""mainEntityOfPage"":{""@type"":""WebPage"",""@id"":""https://www.telegraaf.nl/financieel/3355429/chocolademelk-goedgekeurd-wel-overdosis-suiker""},""image"":[""https://www.telegraaf.nl/images/1200x630/filters:format(jpeg):quality(80)/cdn-kiosk-api.telegraaf.nl/cba1fae0-508a-11e9-9652-0255c322e81b.jpg""],""articleSection"":""Geld"",""keywords"":[""keurmerken"",""albert heijn"",""questionmark"",""pieter van erven dorens""]}",16/08/????
3104,112Groningen - Automobilist(39) overlijdt bij ongeluk in Nieuw-Beerta (Video),De man is om onbekende reden tegen een boom gebotst. De bestuurder zat alleen in de auto. Er is verder niemand gewond geraakt.   Hulpverleningsdiensten en omstanders hebben nog gereanimeerd in de  poging om het slachtoffer te helpen. De Verkeersongevallen Dienst van de  Politie doet nader onderzoek naar de omstandigheden. De Hoofdweg was  enige tijd afgezet.,?/?/????
3105,Binnenland | Het laatste nieuws uit Nederland leest u op Telegraaf.nl,"{""@context"":""http://schema.org"",""@type"":""NewsArticle"",""headline"":""Chocolademelk goedgekeurd, wel overdosis suiker"",""dateline"":""Amsterdam, NL"",""datePublished"":""2019-03-27T11:48:44.000Z"",""dateModified"":""2019-03-27T12:21:06.000Z"",""description"":""Verreweg de meeste chocolademelk die in Nederland wordt verkocht, heeft een keurmerk op het gebied van eerlijke handel en mensenrechten. Dat zegt alleen niets over de gezondheid of zelfs de prijs van het product."",""articleBody"":""Bureau Questionmark, dat de duurzaamheid van producten onderzoekt, vergeleek negentien soorten chocolademelk. Daarbij werd gekeken of het drankje was gecertificeerd en welk suikergehalte het bevatte.\n\nBovenaan eindigde de eigen merk chocolademelk Ã¢â‚¬â„¢classicÃ¢â‚¬â„¢ van Albert Heijn met het UTZ-certificaat en slechts 7,5 gram suiker per liter erin. Het ligt in de schappen voor Ã¢â€šÂ¬0,81. Ook goed scoorde de tweemaal zo dure Chocomel Dark.\n\nTony Chocolonely\n\nTony Chocolonely, het Nederlandse merk dat zich voorstaat op zijn duurzaamheid, wordt door de onderzoekers geprezen omdat het bedrijf zelf ook zegt te investeren in arbeidsomstandigheden van plantagewerkers. Op de gezondheid van consumenten let Tony echter minder goed: het suikergehalte ligt hoog met 12,1 gram. Daarom staat deze chocomelk op plaats 14 in de lijst.\n\nZonder keurmerk\n\nDrie merken gebruikten ongecertificeerde cacao, hoewel in diverse productielanden zoals Ghana en Ivoorkust veel mis gaat op het gebied van arbeidsomstandigheden en kinderarbeid.\n\nQuestionmark signaleerde onder meer BonOmel van het bekende FrieslandCampina (dat ook Chocomel maakt). Per liter betaalt men voor deze kleinverpakkingen Ã¢â€šÂ¬1,24 bij Jumbo.\n\nHet keurmerkloze Choco!Choco, waarvoor notabene de Ã¢â‚¬â„¢kinderbandÃ¢â‚¬â„¢ K3 reclame maakte, ligt voor Ã¢â€šÂ¬0,99 bij Jan Linders en in kleinverpakking bij Albert Heijn voor Ã¢â€šÂ¬1,80 per liter. De derde keurmerkloze chocolademelk van het Belgische Inex kost omgerekend per liter Ã¢â€šÂ¬1,36."",""author"":{""@type"":""Person"",""name"":""Pieter van Erven Dorens""},""publisher"":{""@type"":""Organization"",""logo"":{""@type"":""ImageObject"",""url"":""https://www.telegraaf.nl/statics/images/telegraaf-logo.png"",""name"":""Telegraaf""},""name"":""TMG Landelijke Media B.V""},""mainEntityOfPage"":{""@type"":""WebPage"",""@id"":""https://www.telegraaf.nl/financieel/3355429/chocolademelk-goedgekeurd-wel-overdosis-suiker""},""image"":[""https://www.telegraaf.nl/images/1200x630/filters:format(jpeg):quality(80)/cdn-kiosk-api.telegraaf.nl/cba1fae0-508a-11e9-9652-0255c322e81b.jpg""],""articleSection"":""Geld"",""keywords"":[""keurmerken"",""albert heijn"",""questionmark"",""pieter van erven dorens""]}",16/08/????
3106,Automobilist omgekomen door eenzijdig ongeval | Blik op nieuws,"Automobilist omgekomen door eenzijdig ongeval Een automobilist is donderdagochtend vroeg van de weg geraakt en daarbij om het leven gekomen. Het eenzijdige ongeval gebeurde op de A12 ter hoogte van Driebergen/Bunnik. Dit maakte het KLPD bekend. 
    Omstreeks 4.30 uur troffen passanten de auto van de man in een weiland langs de snelweg aan. De auto was zwaar beschadigd, de bestuurder leefde niet meer. Uitgebreid sporenonderzoek van de Dienst Verkeerspolitie leerde dat de man met zijn auto eerst de linkervangrail heeft geraakt, en daarna rechts de berm in is geschoten, en via een sloot in een weiland tot stilstand kwam. 
Er ontstond vanochtend een lange file op de A12 vanuit de richting Arnhem. Omdat de familie nog in kennis gesteld moet worden kan op dit moment nog geen leeftijd en woonplaats van het slachtoffer worden verstrekt.  ",25/6/2009
3107,Vrouw komt om onder vrachtwagen in Vaals - L1,Vrouw komt om onder vrachtwagen in Vaals - L1 Vrouw komt om onder vrachtwagen in Vaals In Vaals is donderdagmorgen een vrouw onder een vrachtwagen gekomen en overleden. Dat gebeurde rond tien uur op de Bosstraat. De 88-jarige vrouw uit Vaals is vermoedelijk bij het oversteken met haar rollator aangereden door de vrachtwagen die ondergrondse afvalcontainers leegt. Ze overleed ter plekke aan haar verwondingen. Hulp van eenÃ‚Â traumahelikopter kwam te laat. De vrachtwagen werd bestuurd door een 49-jarige man uit Landgraaf. ,
 Hoe het ongeluk precies kon gebeuren wordt onderzocht.,?/?/????,,
3108,Bromfietser komt om het leven bij ongeluk in Zuidwolde [update] - RTV Drenthe,"

						In Zuidwolde is vanmiddag een 72-jarige man uit die plaats om het leven gekomen bij een verkeersongeluk.

					 

						De man reed op zijn bromfiets op de Meeuwenweg en kwam door onbekende oorzaak vermoedelijk op de linkerweghelft terecht, waar hij vervolgens tegen een auto botste. De automobilist, een 64-jarige man uit De Wijk, kon de bromfietser niet ontwijken. De Zuidwoldenaar is ter plekke overleden. De politie doet nog onderzoek naar de oorzaak van het ongeluk.

					",27/5/2017
3109,Rotterdammer komt om bij verkeersongeval - RTV Rijnmond,"

						In Delfgauw is dinsdagochtend vroeg een 34-jarige man uit Rotterdam omgekomen bij een verkeersongeval. Hij werd aangereden door een auto.

					 De Rotterdammer wilde rond 05:40 uur de Laan van Ruyven oversteken. Waarschijnlijk gaf hij daarbij geen voorrang aan een voorbijrijdende personenauto, waarna hij werd geschept. Ambulancepersoneel heeft nog geprobeerd de man te reanimeren, maar de Rotterdammer overleed ter plekke.  De bestuurder van de personenauto is nog gehoord door de politie, maar wordt niet gezien als een verdachte.",31/3/2015
3110,Automobilist overlijdt in Opende - RTV Noord,"

						Op de Drachtsterweg in Opende is maandagochtend een automobilist overleden nadat hij onwel was geworden.

					 

						De man reed in een busje en kwam in botsing met een geparkeerde auto. In zowel de auto van de man als de geparkeerde auto zaten verder geen andere inzittenden. Over de leeftijd en woonplaats van de man is nog niets bekend.

					",12/5/2014
3111,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/45574' kon niet worden gevonden.    ",?/?/????
3112,Dricom varsseveld in de Achterhoek,Dricom varsseveld in de Achterhoek,?/?/????
3113,Dodelijke ongeval op N506 bij Enkhuizen | Blik op nieuws,"Dodelijke ongeval op N506 bij Enkhuizen Een 26-jarige automobilist overleed zondagochtend in het ziekenhuis als gevolg van een ongeval wat zaterdagavond rond 21.50 uur plaatsvond op de Provinciale weg N506 bij Enkhuizen. 
    De 26-jarige bestuurder verloor door onbekende oorzaak de macht over het stuur. Hierdoor raakte de auto, even voorbij het industrieterrein, in ene flauwe bocht van de weg. Het voertuig kwam op zijn kop in de sloot terecht.  
Toen de hulpdiensten arriveerden werden een 39-jarige en een 35-jarige man, beiden afkomstig uit Hoorn, op de kant aangetroffen. Deze mannen gaven aan dat er nog iemand in de auto zat. 
Omdat het voertuig onder water stond kon degene die erin zat moeilijk adem halen. Politieagenten gingen daarom te water om het voertuig een stuk op te tillen. Al snel bleek dat naast een 18-jarige vrouw uit Hoorn, de bestuurder ook nog in het voertuig zat. Op het moment dat hij uit de auto werd gehaald ademde hij niet. Hij werd gereanimeerd en met ademhaling, maar in kritieke toestand, overgebracht naar het VU ziekenhuis in Amsterdam. Hij overleed hier zondagochtend.  
De andere drie inzittenden werden met onbekend letsel overgebracht naar verschillende ziekenhuizen in de omgeving.  ",29/5/2011
3114,Dodelijk verkeersongeval motor met personenauto | politie.nl,"Dodelijk verkeersongeval motor met personenauto Wijlre - Bij een dodelijke aanrijding met een auto is een motorrijder donderdagavond ondanks de inspanningen van de hulpdiensten komen te overlijden. Rond 21.00 uur kregen de hulpdiensten melding van het verkeersongeval op de Knipstraat (N595), tussen de personenauto en de motor. De bestuurder van de motor raakte daarbij ernstig gewond. Onder andere de hulp van een traumahelikopter is ingeroepen voor medische assistentie, desondanks is het slachtoffer komen te overlijden. De identiteit van het slachtoffer zal in de loop van vrijdagochtend bekend worden gemaakt. De politie stelt een onderzoek in naar de toedracht van de aanrijding. Getuigen worden verzocht om zich te melden bij de politie via 0900-8844 of onderstaand formulier.",22/06/2017
3115,Overleden bromfietser Echt is 19-jarige jongen | 1Limburg | Nieuws en sport uit Limburg,Overleden bromfietser Echt is 19-jarige jongen | 1Limburg | Nieuws en sport uit Limburg Overleden bromfietser Echt is 19-jarige jongen De bromfietser die vrijdagavond onder de trein kwam in Echt is een 19-jarige jongen uit die plaats. Het ongeluk gebeurde rond 19:30 uur bij de bewaakte spoorwegovergang aan de Kerkveldsweg.  De politie gaat ervan uit dat de jongen door een ongeluk om het leven is gekomen.  De politie heeft de bromfiets meegenomen voor onderzoek. Elke dag het belangrijkste nieuws in je mail? Dat regelen we voor je.  Actie: meld je nu aan en ontvang vier weken lang gratis de digitale krant!,?/?/????
3116,Motorrijder komt om bij ongeval - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Motorrijder komt om bij ongeval - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland Motorrijder komt om bij ongeval AAGTEKERKE - Bij een aanrijding op de Kloosterweg in Aagtekerke is maandagmorgen een 45-jarige motorrijder uit de gemeente VeereÃ‚Â om het leven gekomen. Het ongeval deed zich rond 08.45 uur plaats toen deÃ‚Â 45-jarige man met zijn motorÃ‚Â in botsing kwam met een tractor. Twee ambulances en een traumahelikopter werden opgeroepen om hulp te verlenen, maar de komst van de traumahelikopter werd al snel gecancelled omdat het slachtoffer al ter plekke was overleden. De tractorbestuurder raakte niet gewond. De politie heeft ter plekke technisch onderzoek gedaan. De Kloosterweg was enige tijd afgesloten tussen de kruising met de Pekelingseweg en de kruising met de Mariekerkseweg. De oorzaak van het ongeluk is nog niet bekend.

                                                             Dat jou dit nou moest overkomen!!!

Jij die altijd in was voor een grapje,en zo goed voor andere.

Jij en je maatje Harry hebben mij door een slechte tijd geholpen en ik moest altijd zo lachen met je als je op de weegbrug kwam.

Rust zacht vent! Heel erg ik leef met de nabestaande mee, 2 jaar geleden moest ook een motorrijder op de dijk in Veere het bekopen met de dood, deze keer lag het niet aan de snelheid Daats,woorden schieten tekort,corina heel veel sterkte met dit zware verlies Ik zal hem gaan missen, Willem je was super.

En heel veel sterkte aan de nabestaande.

En vooral zijn vrouw en kinderen heel veel sterkte. Corina en kinderen heel veel sterkte met het verlies van willem ,ook hier in middelburg is de klap hard aangekomen ,we wensen jullie en ook de verdere familie heel veel sterkte met dit grote verlies ",?/?/????
3117,Drie doden bij verkeersongeval | NU - Het laatste nieuws het eerst op NU.nl,Drie doden bij verkeersongeval  Een vrachtwagen botste door nog onbekende oorzaak  op de wagen waarin de drie slachtoffers zaten. De vrachtwagenchauffeur raakte niet gewond.  ,06/6/2019
3118,Apeldoorner (80) overlijdt na ongeval met scootmobiel | Apeldoorn | destentor.nl,"De man kwam met zijn scootmobiel in botsing met een auto. 
									De 80-jarige Apeldoorner die dinsdagmiddag met zijn scootmobiel een ongeval kreeg op de Laan van Malkenschoten is vannacht aan zijn verwondingen overleden. Dat meldt de politie. De man kreeg een aanrijding ter hoogte van de kruising met de Paramariboweg. De oudere man was zijn hondje aan het uitlaten dat daarna verdween. De Jack Russel is nog niet teruggevonden.Ã‚Â  De 80-jarige werd met spoed naar het ziekenhuis gebracht, waar hij later aan zijn verwondingen overleed.Ã‚Â  Wie informatie heeft over het verdwenen hondje kan contact opnemen met de politie via 0900-8844.",14/17/????
3119,Duitse chauffeur (64) overleden bij ernstig ongeval op A1 | Binnenland | destentor.nl,Een tankwagen en een vrachtwagen zijn vrijdagavond op elkaar gebotst op de A1 ter hoogte van Enter. Een 64-jarige man uit Bentheim is hierbij om het leven gekomen. De Duitse politie heeft zijn familie inmiddels ingelicht.Ã‚Â  Michel van Ballegooij  Het ongeval is gebeurd in de staart van de file vanwege de afsluiting van de A35 door ook een aanrijding tussen twee vrachtwagens.Ã‚Â De A1 is richting knooppunt Azelo afgesloten.Ã‚Â De ANWB meldt dat de snelweg tot zeker 01:00 uur is afgesloten. Er vloog lange tijd een politiehelikopter boven het gebied om de situatie in kaart te brengen.,?/?/????
3120,112Groningen - Fietsster(73) komt om het leven na botsing met auto in Delfzijl (video)," - Op de Hogelandsterweg in Delfzijl is woensdagmiddag een fietsster in botsing gekomen met een auto.

                 Bij het ongeluk is de fietsster van 73 jaar om het leven gekomen.   De politie doet onderzoek naar de identiteit van de fietser en naar de oorzaak van deze ernstige aanrijding. ",?/?/????
3121,Man (21) uit Cuijk omgekomen bij ongeluk A73 Nijmegen - Omroep Brabant,"

						Een 21-jarige man uit Cuijk is donderdag om het leven gekomen bij een ongeluk op de A73 bij Nijmegen. De auto van de man belandde in de buurt van knooppunt Neerbosch tegen een boom. De man werd uit de auto geslingerd en belandde in het water.

					 

						Omstanders hebben nog geprobeerd de man te redden, maar de hulp kwam te laat. Duikers van de brandweer hebben gezocht naar eventuele andere inzittenden, maar er zat niemand anders in de auto. Uit een eerste politieonderzoek blijkt dat het slachtoffer door nog onbekende oorzaak de macht over het stuur verloor in een flauwe bocht. ",10/11/2016
3122,Bejaarde fietsster overleden na aanrijding in Sevenum | 1Limburg | Nieuws en sport uit Limburg,"Bejaarde fietsster overleden na aanrijding in Sevenum | 1Limburg | Nieuws en sport uit Limburg Bejaarde fietsster overleden na aanrijding in Sevenum Een 81-jarige vrouw uit Horst is overleden, nadat ze zaterdagmiddag op een kruising in Sevenum was aangereden.  De bejaarde is woensdag bezweken aan haar verwondingen. Dat meldt de politie. De 81-jarige dame raakte zaterdag in Sevenum  Het ongeluk gebeurde rond 12:45 uur op de kruising  . Ze werd per traumahelikopter naar het ziekenhuis gebracht. utomobilist uit Sevenum is aangehouden. De politie onderzoekt de toedracht van het ongeval nog. Vermoedelijk verleende de automobilist geen voorrang.  De politie is nog op zoek naar getuigen. ",?/?/????
3123,Vlaardinger (72) overlijdt na verkeersongeluk - RTV Rijnmond,"{""@context"":""http://schema.org"",""@type"":""NewsArticle"",""mainEntityOfPage"":{""@type"":""WebPage"",""@id"":""https://www.rijnmond.nl/nieuws/127386/Vlaardinger-72-overlijdt-na-verkeersongeluk""},""headline"":""Vlaardinger (72) overlijdt na verkeersongeluk"",""image"":{""@type"":""ImageObject"",""url"":""https://imgr.rgcdn.nl/7883b2d4f3e04e09b00ff3829030a4ff/opener/Bromfietser-gewond.jpg"",""width"":770,""height"":433},""datePublished"":""2015-03-25T14:59:03+01:00"",""dateModified"":""2015-10-03T19:13:18.4955266+02:00"",""author"":{""@type"":""Organization"",""name"":""RTV Rijnmond""},""publisher"":{""@type"":""Organization"",""name"":""RTV Rijnmond"",""logo"":{""@type"":""ImageObject"",""url"":""http://www.rijnmond.nl/Content/Amp/Images/rijnmond/logopublisher.png"",""width"":600,""height"":60}},""description"":""Een 72-jarige Vlaardinger die zaterdag zwaargewond raakte bij een verkeersongeluk, is overleden aan zijn verwondingen. Dat hebben kennissen van het slachtoffer woensdag laten weten. De man reed op een brommer toen hij op een kruising door een automobilist werd aangereden.&nbsp;De bromfietser werd zwaargewond naar het ziekenhuis gebracht. Maandagavond laat is hij alsnog overleden.De verkeerspolitie heeft de automobilist, een 23-jarige man uit Vlaardingen, opgepakt. Hij zou onvoorzichtig hebben gereden. Justitie beslist of de&nbsp;automobilist&nbsp;wordt vervolgd. Hij is tot die tijd vrijgelaten.Het ongeluk gebeurde zaterdag rond het middaguur op de kruising van de Westlandseweg met de Burgemeester Pruissingel en de Burgemeester Heusdenslaan, bij boerderij Hoogstad.Naast de bromfietser werden ook een voetganger en zijn hond aangereden. De man raakte lichtgewond. De hond is geopereerd en heeft pennen in de heup gekregen.""} 

						Een 72-jarige Vlaardinger die zaterdag zwaargewond raakte bij een verkeersongeluk, is overleden aan zijn verwondingen. Dat hebben kennissen van het slachtoffer woensdag laten weten.

					 De man reed op een brommer toen hij op een kruising door een automobilist werd aangereden.Ã‚Â De bromfietser werd zwaargewond naar het   gebracht. Maandagavond laat is hij alsnog overleden. De verkeerspolitie heeft de automobilist, een 23-jarige man uit Vlaardingen, opgepakt. Hij zou onvoorzichtig hebben gereden. Justitie beslist of deÃ‚Â automobilistÃ‚Â wordt vervolgd. Hij is tot die tijd vrijgelaten. Het ongeluk gebeurde zaterdag rond het middaguur op de kruising van de Westlandseweg met de Burgemeester Pruissingel en de Burgemeester Heusdenslaan, bij boerderij Hoogstad. Naast de bromfietser werden ook een voetganger en zijn hond aangereden. De man raakte lichtgewond. De hond is geopereerd en heeft pennen in de heup gekregen.",25/3/2015
3124,Man (22) overleden na groot ongeval op A15 | Betuwe | gelderlander.nl,"
									ANDELST/DODEWAARD - De 22-jarige Hervelder die afgelopen weekend zwaargewond uit een ongeval op snelweg A15 kwam, is afgelopen woensdag overleden. Dat bevestigt de politie. Van onze verslaggever De man veroorzaakte het ongeval door achterop een aanhanger met jacht van een terreinwagen met daarin 5 Denen te rijden. Die combinatie schaarde, waardoor de auto's botsten. Vervolgens reden nog 2 auto's er op in. De Hervelder werd daarbij aangereden, nadat het hem was gelukt op eigen kracht uit zijn eigen auto te komen. Bij het ongeval raakten 11 mensen gewond, waarvan drie ernstig en de Hervelder zeer ernstig. Waarom de 22-jarige achterop de aanhanger reed kan de politie niet zeggen.",13/03/17
3125,Chinese toeriste (69) dood na aanrijding met camper | 1Limburg | Nieuws en sport uit Limburg,"Chinese toeriste (69) dood na aanrijding met camper | 1Limburg | Nieuws en sport uit Limburg Een 69-jarige toeriste uit China is maandag in Lemiers overleden na een verkeersongeval. Het ongeval gebeurde rond 15:30 uur op de Rijksweg, ter hoogte van buurtschap Mamelis. De vrouw werd door de camper geschept toen ze de straat wilde  . De toeriste overleed ter  De weg werd enige tijd afgesloten voor politieonderzoek.",?/?/????
